%20/01/2021 17:16:30
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%2-2
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Ciascun canale pilota una termoresistenza%PD at channel 3: Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]	Channel 1 : Voltage [V]	Current [mA]
0.0	10.8642	2.7999	0.6917	2.7999	0.6917	2.7999	0.6917	2.7999	0.6917	2.7999	0.6917	2.7999	0.6917	2.7999	0.6917	2.7999	0.6917	2.7999	0.7324	2.7999	0.7324
0.0	10.8642	2.5999	0.651	2.5999	0.651	2.5999	0.6103	2.5999	0.6103	2.5999	0.651	2.5999	0.6103	2.5999	0.651	2.5999	0.651	2.5999	0.651	2.5999	0.651
0.0	10.9049	2.3998	0.5696	2.3998	0.6103	2.3998	0.6103	2.3998	0.5696	2.3998	0.5696	2.3998	0.6103	2.3998	0.6103	2.3998	0.6103	2.3998	0.5696	2.3998	0.6103
0.0	10.9049	2.1998	0.5696	2.1998	0.5696	2.1998	0.5289	2.1998	0.5696	2.1998	0.5289	2.1998	0.5289	2.1998	0.5696	2.1998	0.5289	2.1998	0.5289	2.1998	0.5289
0.0	10.9863	1.9999	0.4882	1.9999	0.4882	1.9999	0.4882	1.9999	0.4882	1.9999	0.4882	1.9999	0.4882	1.9999	0.4882	1.9999	0.4882	1.9999	0.4882	1.9999	0.4882
0.0	10.9456	1.7999	0.4069	1.7999	0.4069	1.7999	0.4475	1.7999	0.4475	1.7999	0.4475	1.7999	0.4475	1.7999	0.4475	1.7999	0.4069	1.7999	0.4475	1.7999	0.4475
0.0	10.9456	1.5998	0.3662	1.5998	0.3662	1.5998	0.3662	1.5998	0.3662	1.5998	0.3662	1.5998	0.4069	1.5998	0.3662	1.5998	0.3662	1.5998	0.4069	1.5998	0.3662
0.0	10.9456	1.3998	0.3255	1.3998	0.2848	1.3998	0.3255	1.3998	0.3255	1.3998	0.3255	1.3998	0.3255	1.3998	0.3255	1.3998	0.3255	1.3998	0.3255	1.3998	0.3255
0.0	10.9863	1.1999	0.2848	1.1999	0.2848	1.1999	0.2848	1.1999	0.2441	1.1999	0.2441	1.1999	0.2848	1.1999	0.2848	1.1999	0.2441	1.1999	0.2848	1.1999	0.2848
0.0	11.0677	0.9999	0.2034	0.9999	0.2034	0.9999	0.2034	0.9999	0.2441	0.9999	0.2441	0.9999	0.2441	0.9999	0.2441	0.9999	0.2034	0.9999	0.2441	0.9999	0.2034
0.0	11.0677	0.7998	0.1627	0.7998	0.1627	0.7998	0.2034	0.7998	0.1627	0.7998	0.1627	0.7998	0.1627	0.7998	0.1627	0.7998	0.1627	0.7998	0.2034	0.7998	0.2034
0.0	11.149	0.5998	0.122	0.5998	0.122	0.5998	0.0813	0.5998	0.0813	0.5998	0.122	0.5998	0.122	0.5998	0.122	0.5998	0.122	0.5998	0.0813	0.5998	0.122
0.0	11.149	0.3999	0.0406	0.3999	0.0406	0.3999	0.0813	0.3999	0.0813	0.3999	0.0813	0.3999	0.0813	0.3999	0.0406	0.3999	0.0813	0.3999	0.0406	0.3999	0.0406
0.0	11.1897	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0
0.0	11.1897	0.0	-0.0406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0406	0.0	0.0	0.0	0.0	0.0	-0.0406	0.0	-0.0406	0.0	-0.0406
0.0	11.1897	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0	0.1999	0.0
